Lexeme	POS	LSC	frequency Dta18	frequency Dta19
Vorwort	NN	-1.5825	85	273
Donnerwetter	NN	-1.8375	100	89
Presse	NN	-1.8825	193	1519
Feine	NN	-1.93	112	84
Anstalt	NN	-2.0725	425	911
Feder	NN	-2.1403508772	1489	3022
billig	ADJ	-2.4316666667	2073	1705
Motiv	NN	-2.66	104	2551
Anstellung	NN	-2.6789473684	53	499
packen	VV	-2.7350877193	279	1057
locker	ADJ	-2.84	454	769
technisch	ADJ	-2.89	25	2177
geharnischt	ADJ	-3	56	117
Zufall	NN	-3.1125	2444	1618
Bilanz	NN	-3.2	51	58
englisch	ADJ	-3.3375	1921	7280
Reichstag	NN	-3.4525	609	1781
Museum	NN	-3.7325	414	1827
Abend	NN	-3.79	4144	4372
